deviceID,seconds,beaconID,rssi
03,0,bcn3-1,-77
03,30,bcn3-3,-72
03,60,bcn3-1,-70
03,90,bcn3-6,-72
03,120,bcn3-1,-79
03,150,bcn3-1,-71
03,180,bcn3-6,-72
03,210,bcn3-6,-76
03,240,bcn3-1,-72
03,270,bcn3-1,-69
03,300,bcn3-3,-75
03,330,bcn3-2,-73
03,360,bcn3-1,-73
03,390,bcn3-9,-71
03,420,bcn3-3,-76
03,450,bcn3-9,-74
03,480,bcn3-3,-71
03,510,bcn3-3,-74
03,540,bcn3-6,-72
03,570,bcn3-6,-74
03,600,bcn3-6,-73
03,630,bcn3-3,-77
03,660,bcn3-9,-79
03,690,bcn3-5,-75
03,720,bcn3-2,-68
03,750,bcn3-5,-65
03,780,bcn3-4,-63
03,810,bcn3-5,-64
03,840,bcn3-3,-64
03,870,bcn3-9,-64
03,900,bcn3-1,-63
03,930,bcn3-4,-62
03,960,bcn3-5,-63
03,990,bcn3-5,-70
03,1020,bcn3-1,-73
03,1050,bcn3-4,-69
03,1080,bcn3-4,-64
03,1110,bcn3-4,-67
03,1140,bcn3-5,-61
03,1170,bcn3-2,-75
03,1200,bcn3-5,-64
03,1230,bcn3-4,-65
03,1260,bcn3-5,-65
03,1290,bcn3-4,-59
03,1320,bcn3-5,-64
03,1350,bcn3-5,-64
03,1380,bcn3-5,-61
03,1410,bcn3-4,-73
03,1440,bcn3-4,-63
03,1470,bcn3-5,-60
03,1500,bcn3-5,-62
03,1530,bcn3-4,-63
03,1560,bcn3-4,-69
03,1590,bcn3-5,-69
03,1620,bcn3-5,-62
03,1650,bcn3-4,-71
03,1680,bcn3-4,-62
03,1710,bcn3-5,-69
03,1740,bcn3-4,-65
03,1770,bcn3-4,-70
03,1800,bcn3-4,-64
03,1830,bcn3-4,-59
03,1860,bcn3-5,-62
03,1890,bcn3-4,-60
03,1920,bcn3-1,-73
03,1950,bcn3-4,-72
03,1980,bcn3-4,-62
03,2010,bcn3-5,-67
03,2040,bcn3-4,-58
03,2070,bcn3-5,-65
03,2100,bcn3-4,-69
03,2130,bcn3-1,-69
03,2160,bcn3-5,-58
03,2190,bcn3-5,-58
03,2220,bcn3-5,-65
03,2250,bcn3-5,-65
03,2280,bcn3-5,-62
03,2310,bcn3-1,-74
03,2340,bcn3-5,-58
03,2370,bcn3-4,-73
03,2400,bcn3-5,-61
03,2430,bcn3-5,-63
03,2460,bcn3-5,-62
03,2490,bcn3-1,-68
03,2520,bcn3-5,-64
03,2550,bcn3-5,-57
03,2580,bcn3-5,-59
03,2610,bcn3-5,-60
03,2640,bcn3-5,-63
03,2670,bcn3-5,-60
03,2700,bcn3-5,-62
03,2730,bcn3-5,-61
03,2760,bcn3-5,-65
03,2790,bcn3-5,-64
03,2820,bcn3-5,-63
03,2850,bcn3-5,-67
03,2880,bcn3-5,-56
03,2910,bcn3-5,-59
03,2940,bcn3-5,-66
03,2970,bcn3-1,-71
03,3000,bcn3-4,-67
03,3030,bcn3-5,-71
03,3060,bcn3-4,-64
03,3090,bcn3-5,-61
03,3120,bcn3-4,-65
03,3150,bcn3-5,-66
03,3180,bcn3-5,-62
03,3210,bcn3-5,-69
03,3240,bcn3-5,-57
03,3270,bcn3-5,-67
03,3300,bcn3-5,-76
03,3330,bcn3-4,-73
03,3360,bcn3-5,-70
03,3390,bcn3-5,-59
03,3420,bcn3-5,-66
03,3450,bcn3-2,-73
03,3480,bcn3-5,-66
03,3510,bcn3-5,-69
03,3540,bcn3-5,-68
03,3570,bcn3-5,-63
03,3600,bcn3-5,-59
03,3630,bcn3-5,-61
03,3660,bcn3-5,-65
03,3690,bcn3-3,-69
03,3720,bcn3-1,-72
03,3750,bcn3-5,-70
03,3780,bcn3-5,-52
03,3810,bcn3-5,-61
03,3840,bcn3-5,-67
03,3870,bcn3-4,-69
03,3900,bcn3-5,-60
03,3930,bcn3-4,-65
03,3960,bcn3-5,-63
03,3990,bcn3-5,-61
03,4020,bcn3-5,-67
03,4050,bcn3-4,-69
03,4080,bcn3-5,-62
03,4110,bcn3-2,-68
03,4140,bcn3-5,-67
03,4170,bcn3-5,-60
03,4200,bcn3-9,-72
03,4230,bcn3-5,-62
03,4260,bcn3-9,-64
03,4290,bcn3-5,-63
03,4320,bcn3-5,-71
03,4350,bcn3-5,-68
03,4380,bcn3-5,-54
03,4410,bcn3-4,-69
03,4440,bcn3-5,-71
03,4470,bcn3-5,-58
03,4500,bcn3-5,-67
03,4530,bcn3-5,-73
03,4560,bcn3-5,-63
03,4590,bcn3-5,-68
03,4620,bcn3-5,-63
03,4650,bcn3-1,-64
03,4680,bcn3-5,-77
03,4710,bcn3-5,-70
03,4740,bcn3-5,-69
03,4770,bcn3-5,-61
03,4800,bcn3-5,-69
03,4830,bcn3-2,-70
03,4860,bcn3-4,-70
03,4890,bcn3-3,-69
03,4920,bcn3-1,-62
03,4950,bcn3-2,-63
03,4980,bcn3-1,-68
03,5010,bcn3-1,-73
03,5040,bcn3-1,-66
03,5070,bcn3-1,-68
03,5100,bcn3-2,-71
03,5130,bcn3-3,-75
03,5160,bcn3-8,-81
03,5190,bcn3-1,-74
03,5220,bcn3-2,-65
03,5250,bcn3-1,-64
03,5280,bcn3-2,-63
03,5310,bcn3-2,-72
03,5340,bcn3-1,-72
03,5370,bcn3-1,-72
03,5400,bcn3-3,-70
03,5430,bcn3-2,-74
03,5460,bcn3-2,-64
03,5490,bcn3-3,-71
03,5520,bcn3-1,-67
03,5550,bcn3-1,-66
03,5580,bcn3-1,-70
03,5610,bcn3-1,-75
03,5640,bcn3-2,-71
03,5670,bcn3-2,-68
03,5700,bcn3-3,-78
03,5730,bcn3-3,-68
03,5760,bcn3-3,-69
03,5790,bcn3-2,-72
03,5820,bcn3-1,-66
03,5850,bcn3-1,-65
03,5880,bcn3-1,-68
03,5910,bcn3-3,-70
03,5940,bcn3-3,-69
03,5970,bcn3-1,-63
03,6000,bcn3-1,-67
03,6030,bcn3-2,-64
03,6060,bcn3-2,-63
03,6090,bcn3-1,-72
03,6120,bcn3-1,-67
03,6150,bcn3-2,-68
03,6180,bcn3-1,-70
03,6210,bcn3-1,-74
03,6240,bcn3-3,-69
03,6270,bcn3-2,-70
03,6300,bcn3-1,-66
03,6330,bcn3-2,-78
03,6360,bcn3-3,-68
03,6390,bcn3-3,-68
03,6420,bcn3-2,-75
03,6450,bcn3-1,-76
03,6480,bcn3-1,-67
03,6510,bcn3-2,-66
03,6540,bcn3-2,-67
03,6570,bcn3-1,-78
03,6600,bcn3-1,-66
03,6630,bcn3-2,-67
03,6660,bcn3-3,-74
03,6690,bcn3-3,-69
03,6720,bcn3-2,-71
03,6750,bcn3-3,-64
03,6780,bcn3-4,-75
03,6810,bcn3-1,-65
03,6840,bcn3-1,-73
03,6870,bcn3-2,-70
03,6900,bcn3-1,-64
03,6930,bcn3-2,-69
03,6960,bcn3-2,-69
03,6990,bcn3-1,-64
03,7020,bcn3-1,-73
03,7050,bcn3-2,-69
03,7080,bcn3-2,-66
03,7110,bcn3-1,-75
03,7140,bcn3-1,-69
03,7170,bcn3-2,-72
03,7200,bcn3-2,-66
03,7230,bcn3-1,-69
03,7260,bcn3-1,-70
03,7290,bcn3-1,-73
03,7320,bcn3-2,-65
03,7350,bcn3-3,-72
03,7380,bcn3-1,-69
03,7410,bcn3-1,-72
03,7440,bcn3-2,-71
03,7470,bcn3-1,-70
03,7500,bcn3-3,-76
03,7530,bcn3-2,-66
03,7560,bcn3-2,-71
03,7590,bcn3-2,-72
03,7620,bcn3-1,-65
03,7650,bcn3-3,-66
03,7680,bcn3-5,-72
03,7710,bcn3-5,-69
03,7740,bcn3-4,-68
03,7770,bcn3-1,-62
03,7800,bcn3-4,-65
03,7830,bcn3-1,-65
03,7860,bcn3-1,-63
03,7890,bcn3-3,-70
03,7920,bcn3-3,-71
03,7950,bcn3-1,-62
03,7980,bcn3-1,-59
03,8010,bcn3-1,-66
03,8040,bcn3-1,-61
03,8070,bcn3-1,-62
03,8100,bcn3-1,-56
03,8130,bcn3-3,-72
03,8160,bcn3-1,-72
03,8190,bcn3-3,-70
03,8220,bcn3-2,-65
03,8250,bcn3-2,-70
03,8280,bcn3-1,-70
03,8310,bcn3-2,-71
03,8340,bcn3-2,-68
03,8370,bcn3-4,-74
03,8400,bcn3-1,-71
03,8430,bcn3-3,-71
03,8460,bcn3-2,-73
03,8490,bcn3-3,-73
03,8520,bcn3-1,-72
03,8550,bcn3-2,-68
03,8580,bcn3-2,-68
03,8610,bcn3-1,-72
03,8640,bcn3-1,-62
03,8670,bcn3-2,-67
03,8700,bcn3-1,-60
03,8730,bcn3-1,-63
03,8760,bcn3-2,-71
03,8790,bcn3-1,-57
03,8820,bcn3-1,-61
03,8850,bcn3-2,-64
03,8880,bcn3-2,-71
03,8910,bcn3-1,-63
03,8940,bcn3-1,-64
03,8970,bcn3-1,-67
03,9000,bcn3-1,-69
03,9030,bcn3-2,-60
03,9060,bcn3-1,-57
03,9090,bcn3-1,-60
03,9120,bcn3-2,-67
03,9150,bcn3-2,-65
03,9180,bcn3-1,-65
03,9210,bcn3-1,-62
03,9240,bcn3-1,-63
03,9270,bcn3-1,-64
03,9300,bcn3-1,-58
03,9330,bcn3-5,-61
03,9360,bcn3-3,-62
03,9390,bcn3-2,-63
03,9420,bcn3-2,-66
03,9450,bcn3-1,-66
03,9480,bcn3-1,-63
03,9510,bcn3-1,-59
03,9540,bcn3-1,-65
03,9570,bcn3-1,-66
03,9600,bcn3-2,-68
03,9630,bcn3-2,-74
03,9660,bcn3-2,-62
03,9690,bcn3-1,-56
03,9720,bcn3-1,-60
03,9750,bcn3-2,-69
03,9780,bcn3-2,-63
03,9810,bcn3-1,-68
03,9840,bcn3-2,-65
03,9870,bcn3-1,-59
03,9900,bcn3-2,-62
03,9930,bcn3-1,-57
03,9960,bcn3-1,-62
03,9990,bcn3-2,-61
03,10020,bcn3-1,-60
03,10050,bcn3-1,-64
03,10080,bcn3-1,-61
03,10110,bcn3-1,-62
03,10140,bcn3-1,-58
03,10170,bcn3-1,-62
03,10200,bcn3-1,-65
03,10230,bcn3-1,-62
03,10260,bcn3-1,-58
03,10290,bcn3-1,-65
03,10320,bcn3-1,-64
03,10350,bcn3-1,-60
03,10380,bcn3-1,-70
03,10410,bcn3-1,-66
03,10440,bcn3-2,-61
03,10470,bcn3-1,-61
03,10500,bcn3-1,-64
03,10530,bcn3-1,-63
03,10560,bcn3-2,-69
03,10590,bcn3-1,-61
03,10620,bcn3-1,-61
03,10650,bcn3-1,-67
03,10680,bcn3-1,-69
03,10710,bcn3-2,-63
03,10740,bcn3-1,-60
03,10770,bcn3-1,-67
03,10800,bcn3-2,-62
03,10830,bcn3-1,-71
03,10860,bcn3-1,-65
03,10890,bcn3-1,-76
03,10920,bcn3-1,-61
03,10950,bcn3-1,-63
03,10980,bcn3-2,-62
03,11010,bcn3-1,-67
03,11040,bcn3-1,-62
03,11070,bcn3-1,-61
03,11100,bcn3-1,-61
03,11130,bcn3-1,-65
03,11160,bcn3-1,-65
03,11190,bcn3-1,-62
03,11220,bcn3-1,-65
03,11250,bcn3-2,-68
03,11280,bcn3-2,-71
03,11310,bcn3-3,-73
03,11340,bcn3-1,-66
03,11370,bcn3-1,-60
03,11400,bcn3-2,-64
03,11430,bcn3-2,-63
03,11460,bcn3-1,-61
03,11490,bcn3-3,-71
03,11520,bcn3-1,-66
03,11550,bcn3-2,-66
03,11580,bcn3-2,-72
03,11610,bcn3-2,-67
03,11640,bcn3-1,-59
03,11670,bcn3-1,-61
03,11700,bcn3-2,-62
03,11730,bcn3-1,-61
03,11760,bcn3-2,-61
03,11790,bcn3-1,-63
03,11820,bcn3-2,-67
03,11850,bcn3-1,-64
03,11880,bcn3-2,-63
03,11910,bcn3-1,-64
03,11940,bcn3-1,-61
03,11970,bcn3-1,-68
03,12000,bcn3-1,-62
03,12030,bcn3-2,-66
03,12060,bcn3-6,-72
03,12090,bcn3-1,-73
03,12120,bcn3-2,-74
03,12150,bcn3-1,-61
03,12180,bcn3-1,-62
03,12210,bcn3-2,-65
03,12240,bcn3-1,-62
03,12270,bcn3-1,-63
03,12300,bcn3-1,-61
03,12330,bcn3-2,-67
03,12360,bcn3-2,-68
03,12390,bcn3-1,-70
03,12420,bcn3-2,-67
03,12450,bcn3-2,-70
03,12480,bcn3-2,-70
03,12510,bcn3-1,-60
03,12540,bcn3-1,-60
03,12570,bcn3-2,-62
03,12600,bcn3-1,-63
03,12630,bcn3-1,-65
03,12660,bcn3-1,-64
03,12690,bcn3-1,-59
03,12720,bcn3-2,-70
03,12750,bcn3-3,-61
03,12780,bcn3-1,-73
03,12810,bcn3-2,-65
03,12840,bcn3-2,-71
03,12870,bcn3-1,-63
03,12900,bcn3-2,-68
03,12930,bcn3-2,-64
03,12960,bcn3-1,-69
03,12990,bcn3-1,-62
03,13020,bcn3-3,-72
03,13050,bcn3-2,-69
03,13080,bcn3-1,-70
03,13110,bcn3-4,-72
03,13140,bcn3-3,-81
03,13170,bcn3-8,-58
03,13200,bcn3-5,-78
03,13230,bcn3-8,-80
03,13260,bcn3-8,-66
03,13290,bcn3-8,-72
03,13320,bcn3-5,-78
03,13350,bcn3-11,-84
03,13380,bcn3-8,-87
03,13410,bcn3-11,-83
03,13440,bcn3-11,-87
03,13470,bcn3-11,-84
03,13500,bcn3-11,-87
03,13530,bcn3-11,-85
03,13560,bcn3-11,-91
03,13590,bcn3-11,-85
03,13620,bcn3-11,-88
03,13650,bcn3-11,-85
03,13680,bcn3-5,-86
03,13710,bcn3-9,-85
03,13740,bcn3-11,-86
03,13770,bcn3-11,-83
03,13800,bcn3-9,-87
03,13830,bcn3-9,-88
03,13860,bcn3-11,-85
03,13890,bcn3-11,-87
03,13920,bcn3-6,-87
03,13950,bcn3-11,-81
03,13980,bcn3-9,-85
03,14010,bcn3-9,-85
03,14040,bcn3-9,-85
03,14070,bcn3-11,-85
03,14100,bcn3-9,-86
03,14130,bcn3-11,-87
03,14160,bcn3-11,-81
03,14190,bcn3-5,-87
03,14220,bcn3-11,-84
03,14250,bcn3-9,-83
